anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
8402,Psychiatric Hospitals,840,2025,57.0,6.8,10.2,ABS 8165.0 DC02 Table 1
8511,General Practice Medical Services,851,2025,52428.0,11.0,8.4,ABS 8165.0 DC02 Table 1
8512,Specialist Medical Services,851,2025,24365.0,10.9,6.8,ABS 8165.0 DC02 Table 1
8520,Pathology and Diagnostic Imaging Services,852,2025,3389.0,16.0,9.7,ABS 8165.0 DC02 Table 1
8531,Dental Services,853,2025,20296.0,10.8,7.9,ABS 8165.0 DC02 Table 1
8532,Optometry and Optical Dispensing,853,2025,3341.0,7.3,8.6,ABS 8165.0 DC02 Table 1
8533,Physiotherapy Services,853,2025,9493.0,14.1,9.0,ABS 8165.0 DC02 Table 1
8534,Chiropractic and Osteopathic Services,853,2025,6549.0,9.5,7.8,ABS 8165.0 DC02 Table 1
8539,Other Allied Health Services,853,2025,43983.0,19.9,11.4,ABS 8165.0 DC02 Table 1
8591,Ambulance Services,859,2025,43.0,23.1,12.8,ABS 8165.0 DC02 Table 1
8599,Other Health Care Services n.e.c.,859,2025,3084.0,24.6,15.9,ABS 8165.0 DC02 Table 1
8601,Aged Care Residential Services,860,2025,1891.0,8.2,7.2,ABS 8165.0 DC02 Table 1
8609,Other Residential Care Services,860,2025,1148.0,13.8,10.9,ABS 8165.0 DC02 Table 1
8710,Child Care Services,871,2025,11395.0,16.5,13.4,ABS 8165.0 DC02 Table 1
8790,Other Social Assistance Services,879,2025,30669.0,42.3,20.9,ABS 8165.0 DC02 Table 1
8910,Museum Operation,891,2025,171.0,7.2,12.7,ABS 8165.0 DC02 Table 1
8921,Zoological and Botanical Gardens Operation,892,2025,166.0,11.3,7.5,ABS 8165.0 DC02 Table 1
8922,Nature Reserves and Conservation Parks Operation,892,2025,183.0,14.0,11.2,ABS 8165.0 DC02 Table 1
9001,Performing Arts Operation,900,2025,2341.0,18.4,17.2,ABS 8165.0 DC02 Table 1
9002,"Creative Artists, Musicians, Writers and Performers",900,2025,17462.0,18.8,16.3,ABS 8165.0 DC02 Table 1
9003,Performing Arts Venue Operation,900,2025,963.0,17.5,14.1,ABS 8165.0 DC02 Table 1
9111,Health and Fitness Centres and Gymnasia Operation,911,2025,7961.0,18.9,14.0,ABS 8165.0 DC02 Table 1
9112,Sports and Physical Recreation Clubs and Sports Professionals,911,2025,2320.0,17.3,13.9,ABS 8165.0 DC02 Table 1
9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",911,2025,1525.0,13.1,11.0,ABS 8165.0 DC02 Table 1
9114,Sports and Physical Recreation Administrative Service,911,2025,521.0,17.3,11.2,ABS 8165.0 DC02 Table 1
9121,Horse and Dog Racing Administration and Track Operation,912,2025,91.0,12.6,8.0,ABS 8165.0 DC02 Table 1
9129,Other Horse and Dog Racing Activities,912,2025,1966.0,9.7,12.8,ABS 8165.0 DC02 Table 1
9131,Amusement Parks and Centres Operation,913,2025,1129.0,12.1,12.2,ABS 8165.0 DC02 Table 1
9139,Amusement and Other Recreational Activities n.e.c.,913,2025,1331.0,11.1,12.8,ABS 8165.0 DC02 Table 1
9201,Casino Operation,920,2025,17.0,13.3,0.0,ABS 8165.0 DC02 Table 1
9202,Lottery Operation,920,2025,486.0,17.8,13.7,ABS 8165.0 DC02 Table 1
9209,Other Gambling Activities,920,2025,677.0,9.6,17.1,ABS 8165.0 DC02 Table 1
9411,Automotive Electrical Services,941,2025,3624.0,10.9,8.8,ABS 8165.0 DC02 Table 1
9412,"Automotive Body, Paint and Interior Repair",941,2025,14479.0,17.7,14.9,ABS 8165.0 DC02 Table 1
9419,Other Automotive Repair and Maintenance,941,2025,29046.0,14.3,11.6,ABS 8165.0 DC02 Table 1
9421,Domestic Appliance Repair and Maintenance,942,2025,2489.0,10.7,11.5,ABS 8165.0 DC02 Table 1
9422,Electronic (except Domestic Appliance) and Precision Equipment Repair,942,2025,3565.0,11.6,13.6,ABS 8165.0 DC02 Table 1
9429,Other Machinery and Equipment Repair and Maintenance,942,2025,13113.0,14.6,12.1,ABS 8165.0 DC02 Table 1
9491,Clothing and Footwear Repair,949,2025,768.0,14.7,13.9,ABS 8165.0 DC02 Table 1
9499,Other Repair and Maintenance n.e.c.,949,2025,2384.0,10.1,11.8,ABS 8165.0 DC02 Table 1
9511,Hairdressing and Beauty Services,951,2025,37517.0,19.1,16.1,ABS 8165.0 DC02 Table 1
9512,Diet and Weight Reduction Centre Operation,951,2025,255.0,14.2,18.7,ABS 8165.0 DC02 Table 1
9520,"Funeral, Crematorium and Cemetery Services",952,2025,942.0,8.8,12.3,ABS 8165.0 DC02 Table 1
9531,Laundry and Dry-Cleaning Services,953,2025,5086.0,19.8,17.8,ABS 8165.0 DC02 Table 1
9532,Photographic Film Processing,953,2025,394.0,10.4,15.0,ABS 8165.0 DC02 Table 1
9533,Parking Services,953,2025,343.0,11.4,10.9,ABS 8165.0 DC02 Table 1
9534,Brothel Keeping and Prostitution Services,953,2025,364.0,22.6,24.7,ABS 8165.0 DC02 Table 1
9539,Other Personal Services n.e.c.,953,2025,20200.0,23.2,18.2,ABS 8165.0 DC02 Table 1
9999,Currently Unknown,999,2025,1730.0,,,ABS 8165.0 DC02 Table 1
0111,Nursery Production (Under Cover),011,2024,348.0,7.4,8.8,ABS 8165.0 DC02 Table 2
